# Name ra dec dist vlos vloserr sigma rmax pmra pmdec pmra_e pmdec_e pmcorr nstar rscale pmdisp pmscale pmscale_e
# units        	deg	deg	kpc	km/s	km/s	km/s	arcmin	mas/yr	mas/yr	mas/yr	mas/yr	dimless	dimless	arcmin	mas/yr
NGC_5927 232.002 -50.673 7.7 -104.1 0.3 6.4 10.0 -5.049 -3.231 0.055 0.055 -0.003 1829.4 11.03 0.198 0.233 0.011
NGC_5946 233.868 -50.659 10.6 137.4 1.4 6.4 5.0 -5.331 -1.614 0.065 0.064 -0.008 217.2 2.91 0.122 0.119 0.003
BH_176 234.781 -50.052 18.9 -6.0 14.0 0.1 3.0 -4.002 -3.064 0.071 0.067 0.019 115.4 2.32 0.0 0.274 0.021
NGC_5986 236.512 -37.786 10.4 101.2 0.4 8.3 8.0 -4.186 -4.604 0.06 0.059 -0.011 812.1 5.59 0.142 0.194 0.008
FSR_1716 242.625 -53.747 9.5 -33.1 1.0 2.6 4.0 -4.527 -8.639 0.066 0.064 -0.028 67.5 2.34 0.0 0.265 0.049
Pal_14 242.752 14.9577 76.5 72.3 0.1 0.7 5.0 -0.504 -0.461 0.081 0.078 0.167 61.2 1.81 0.0 0.406 0.102
Lynga_7_BH184 242.765 -55.317 8.0 17.9 0.8 4.0 4.0 -3.844 -7.039 0.064 0.063 -0.007 154.8 2.17 0.13 0.158 0.02
NGC_6093_M_80 244.26 -22.976 10.0 10.9 0.4 10.9 8.0 -2.931 -5.578 0.061 0.06 0.001 474.4 4.32 0.157 0.212 0.032
NGC_6121_M_4 245.896 -26.525 2.2 71.0 0.1 4.7 30.0 -12.49 -19.001 0.044 0.044 -0.001 7526.3 8.63 0.563 0.468 0.018
NGC_6101 246.45 -72.202 15.4 366.3 0.3 2.7 10.0 1.757 -0.223 0.053 0.054 0.005 1260.8 6.1 0.052 0.154 0.025
NGC_6144 246.807 -26.023 8.9 195.7 0.7 2.7 6.0 -1.772 -2.626 0.061 0.06 0.002 122.4 1.96 0.0 0.133 0.018
NGC_6139 246.918 -38.848 10.1 24.4 0.9 11.5 8.0 -6.184 -2.648 0.062 0.061 0.006 426.8 3.57 0.193 0.207 0.013
Terzan_3 247.167 -35.353 8.2 -135.8 0.6 2.3 5.0 -5.602 -1.69 0.063 0.062 0.006 365.8 2.87 0.064 0.223 0.046
NGC_6171_M107 248.132 -13.053 6.4 -34.7 0.2 4.3 10.0 -1.924 -5.968 0.057 0.056 0.0 1304.8 4.77 0.143 0.268 0.051
1636-283_ESO452 249.856 -28.398 8.3 16.3 0.5 1.5 2.0 -1.54 -6.418 0.07 0.068 -0.016 28.0 0.9 0.0 0.125 0.019
NGC_6205_M_13 250.421 36.4598 7.1 -244.5 0.4 9.2 20.0 -3.164 -2.588 0.047 0.047 0.011 3982.6 10.31 0.19 0.277 0.03
NGC_6229 251.744 47.5277 30.5 -138.6 0.8 7.1 6.0 -1.192 -0.44 0.062 0.064 0.009 123.6 2.18 0.0 0.16 0.021
NGC_6218_M_12 251.809 -1.9485 4.8 -41.4 0.2 5.0 15.0 -0.141 -6.802 0.052 0.051 0.019 3356.7 6.77 0.184 0.297 0.101
FSR_1735 253.044 -47.058 10.8 5.0 10.0 2.7 2.0 -5.015 -0.141 0.112 0.103 -0.134 16.2 0.84 0.0 -0.063 0.011
NGC_6235 253.355 -22.177 11.5 126.7 0.3 4.1 4.0 -3.973 -7.624 0.064 0.063 0.009 168.9 2.09 0.079 0.126 0.0
NGC_6254_M_10 254.287 -4.1003 4.4 74.0 0.3 6.2 20.0 -4.759 -6.554 0.049 0.048 0.012 5285.6 8.16 0.225 0.323 0.019
NGC_6256 254.885 -37.121 10.3 -101.4 1.2 5.6 4.0 -3.664 -1.493 0.068 0.066 0.005 126.0 1.86 0.144 0.25 0.008
Pal_15 254.962 -0.5388 45.1 72.3 1.7 1.2 4.0 -0.58 -0.861 0.076 0.07 0.027 60.1 1.8 0.0 0.414 0.052
NGC_6266_M_62 255.303 -30.113 6.8 -73.5 0.7 15.3 12.0 -5.041 -2.952 0.057 0.057 0.004 1169.4 6.91 0.359 0.314 0.027
NGC_6273_M_19 255.657 -26.267 8.8 145.5 0.6 11.8 10.0 -3.232 1.669 0.057 0.056 0.01 1059.3 6.24 0.24 0.258 0.023
NGC_6284 256.118 -24.764 15.3 28.3 0.9 7.3 4.0 -3.196 -2.008 0.065 0.064 0.009 141.9 2.46 0.102 0.137 0.015
NGC_6287 256.288 -22.708 9.4 -294.7 1.6 6.3 6.0 -4.977 -1.882 0.063 0.062 0.003 338.6 2.83 0.167 0.193 0.021
NGC_6293 257.542 -26.582 9.5 -143.7 0.4 6.8 5.0 0.89 -4.338 0.064 0.063 0.007 182.7 2.39 0.145 0.16 0.023
NGC_6304 258.634 -29.462 5.9 -108.6 0.4 5.0 5.0 -4.051 -1.073 0.063 0.063 0.004 159.3 2.76 0.195 0.176 0.001
NGC_6316 259.155 -28.14 10.4 99.8 0.8 9.0 5.0 -4.945 -4.608 0.066 0.065 0.012 114.2 2.5 0.181 0.205 0.019
NGC_6341_M_92 259.28 43.1359 8.3 -120.5 0.3 8.7 15.0 -4.925 -0.536 0.052 0.052 0.01 1847.5 7.43 0.167 0.226 0.014
