# Name         	     pericenter[kpc]   	     apocenter[kpc]    	       Jr[kpc*km/s]    	       Jz[kpc*km/s]    	      Jphi[kpc*km/s]   	    Energy[km^2/s^2]   
NGC_5694       	   1.75	   2.37	   3.01	  54.23	  57.25	  60.49	   3864	   4126	   4377	    334	    459	    729	  -1118	   -843	   -537	 -89674	 -87361	 -85060
IC_4499        	   6.03	   6.77	   7.74	  25.68	  27.95	  29.77	    917	    973	   1039	   1498	   1601	   1714	  -1185	  -1030	   -847	-119626	-115646	-112344
NGC_5824       	  11.91	  14.74	  18.42	  31.49	  35.37	  40.99	    620	    668	    735	   1768	   2064	   2457	   2036	   2604	   3222	-106276	-100464	 -92732
Pal_5          	   9.27	  12.03	  14.79	  17.89	  19.04	  20.28	     60	    118	    214	   1641	   1919	   2155	   1074	   1312	   1608	-129340	-123731	-118034
NGC_5897       	   1.78	   2.37	   3.08	   8.50	   9.12	  10.05	    240	    249	    256	    549	    585	    637	    296	    393	    538	-172250	-168086	-162333
NGC_5904_M_5   	   2.21	   2.42	   2.69	  23.16	  25.89	  29.76	   1285	   1474	   1732	    847	    990	   1167	    324	    361	    392	-127583	-122446	-115947
NGC_5927       	   4.17	   4.31	   4.40	   5.25	   5.46	   5.64	      7	     11	     17	     20	     21	     23	   1036	   1057	   1080	-185721	-184505	-183315
NGC_5946       	   0.23	   0.46	   0.77	   5.74	   6.10	   6.44	    318	    331	    344	    119	    139	    169	     77	    146	    235	-198316	-193768	-189124
BH_176         	  11.27	  12.37	  13.33	  15.30	  19.46	  24.74	     51	    127	    287	     27	     29	     31	   2988	   3383	   3865	-130718	-122362	-113756
NGC_5986       	   0.22	   0.42	   0.68	   4.85	   5.12	   5.35	    236	    246	    254	    154	    162	    172	     56	    128	    183	-205500	-201796	-198517
FSR_1716       	   3.65	   4.08	   4.40	   6.93	   7.86	   9.11	     77	     98	    134	    103	    122	    138	    989	   1110	   1228	-177856	-171435	-164770
Pal_14         	   2.68	   5.61	  10.93	 102.85	 107.47	 114.37	   6097	   6897	   7947	    610	   1451	   2388	   -549	   1105	   2511	 -64210	 -62351	 -60328
Lynga_7_BH184  	   1.72	   1.87	   2.12	   4.53	   4.67	   4.85	     81	     90	     97	     44	     52	     60	    491	    522	    575	-205367	-203302	-200321
NGC_6093_M_80  	   0.30	   0.61	   0.87	   3.61	   3.84	   4.24	     73	     78	     84	    353	    375	    398	     15	     46	     93	-211180	-207973	-203656
NGC_6121_M_4   	   0.09	   0.16	   0.26	   6.22	   6.35	   6.52	    469	    493	    511	     12	     13	     14	    -47	     11	     74	-197489	-196475	-195194
NGC_6101       	  10.07	  10.72	  11.13	  36.75	  41.13	  44.82	   1162	   1377	   1563	    751	    807	    858	  -3375	  -3189	  -2958	-102179	 -97508	 -93856
NGC_6144       	   1.68	   1.95	   2.13	   3.68	   3.77	   3.91	     20	     24	     33	    341	    350	    355	   -285	   -242	   -199	-204724	-203462	-201273
NGC_6139       	   1.09	   1.31	   1.74	   3.51	   3.79	   4.26	     63	     69	     75	    184	    203	    232	    229	    274	    348	-212090	-208155	-201166
Terzan_3       	   2.08	   2.16	   2.24	   3.42	   3.55	   3.78	     12	     16	     25	    141	    158	    184	    417	    429	    448	-207820	-206728	-204437
NGC_6171_M107  	   0.75	   0.84	   0.94	   3.46	   3.57	   3.68	     66	     70	     74	    219	    237	    256	    129	    161	    192	-213324	-212481	-211242
1636-283_ESO452	   0.09	   0.15	   0.20	   2.32	   2.37	   2.45	     56	     61	     72	    174	    191	    214	    -20	    -15	     -6	-231998	-230658	-228850
NGC_6205_M_13  	   1.10	   1.21	   1.33	   8.48	   8.66	   8.82	    359	    376	    392	    405	    427	    457	   -263	   -240	   -212	-173561	-172877	-172121
NGC_6229       	   0.45	   1.04	   1.90	  29.68	  30.63	  32.04	   2066	   2202	   2324	    352	    604	    884	    -61	    112	    284	-116944	-115319	-113288
NGC_6218_M_12  	   2.15	   2.28	   2.45	   4.82	   4.90	   5.03	     51	     56	     61	    177	    188	    204	    500	    533	    573	-195715	-194687	-193392
FSR_1735       	   0.29	   0.57	   1.21	   4.99	   5.48	   6.01	    222	    246	    264	    288	    395	    530	    -38	    -12	     31	-198311	-192920	-187789
NGC_6235       	   2.37	   3.04	   3.52	   6.14	   7.76	   9.21	    105	    141	    178	    345	    358	    376	    470	    673	    811	-184442	-173786	-165995
NGC_6254_M_10  	   2.05	   2.16	   2.30	   5.00	   5.14	   5.28	     83	     89	     95	    131	    139	    146	    523	    557	    595	-195358	-194198	-192706
NGC_6256       	   0.19	   0.27	   0.35	   3.97	   4.38	   5.07	    174	    208	    260	     83	     94	    116	     65	     90	    109	-219302	-214968	-207692
Pal_15         	   0.87	   2.11	   3.72	  48.13	  50.93	  53.35	   3211	   3556	   3938	    354	    816	   1360	   -441	     54	    588	 -94726	 -92341	 -90283
NGC_6266_M_62  	   0.82	   0.88	   0.94	   1.84	   2.14	   2.69	     16	     23	     32	     59	     66	     77	    163	    201	    235	-240371	-235760	-232656
NGC_6273_M_19  	   0.54	   0.92	   1.18	   4.56	   4.86	   5.41	    155	    165	    176	    287	    294	    299	   -241	   -168	    -86	-201957	-198873	-193792
NGC_6284       	   0.27	   0.45	   0.79	   6.99	   7.61	   8.33	    393	    427	    449	    302	    356	    440	    -37	     32	    106	-184048	-179713	-175069
NGC_6287       	   0.35	   0.46	   0.56	   6.16	   6.69	   7.53	    317	    346	    392	    316	    335	    369	    -67	    -56	    -44	-189545	-185543	-180127
NGC_6293       	   0.26	   0.41	   0.54	   2.85	   3.33	   4.05	    108	    123	    144	    157	    161	    171	   -144	    -96	    -48	-223745	-217924	-210397
NGC_6304       	   1.67	   1.79	   1.93	   3.02	   3.28	   3.54	     25	     30	     34	     34	     38	     41	    394	    442	    487	-221313	-217019	-213512
NGC_6316       	   0.23	   0.48	   0.87	   2.88	   3.30	   3.98	    103	    117	    128	     72	     75	     81	     64	    123	    235	-234646	-226940	-215991
